# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.4766250610e-10
6.9444575789e-01 4.9806057630e-07 0.0000000000e+00 4.9522959728e+02 7.0100268652e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 3.8079207073e+02
6.3602589122e-01 1.9922423052e-06 0.0000000000e+00 4.6032790564e+02 6.4188980275e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 3.4718408434e+02
6.1794048013e-01 4.4825451867e-06 0.0000000000e+00 4.9059496294e+02 6.2359359876e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 3.7377810169e+02
6.0810170755e-01 7.9689692207e-06 0.0000000000e+00 5.2503254151e+02 6.1364207040e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 4.0528928049e+02
6.0372366749e-01 1.2451514407e-05 0.0000000000e+00 5.5824279087e+02 6.0921466192e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 4.3663803054e+02
6.0293193248e-01 1.7930180747e-05 0.0000000000e+00 5.8845828886e+02 6.0841431495e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 4.6586044049e+02
6.0441501317e-01 2.4404968238e-05 0.0000000000e+00 6.1558481412e+02 6.0991428682e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 4.9258735410e+02
6.0736913520e-01 3.1875876883e-05 0.0000000000e+00 6.4044691899e+02 6.1290156554e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 5.1741680450e+02
6.1138887651e-01 4.0342906680e-05 0.0000000000e+00 6.6448201288e+02 6.1696613310e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 5.4171466988e+02
6.1635795923e-01 4.9806057630e-05 0.0000000000e+00 6.8968771427e+02 6.2199037728e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 5.6742271219e+02
6.2235029744e-01 6.0265329732e-05 0.0000000000e+00 7.1873540227e+02 6.2804890324e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 5.9734651905e+02
6.2907697358e-01 7.1720722987e-05 0.0000000000e+00 7.3831991362e+02 6.3484951586e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 6.3014236166e+02
6.3538200676e-01 8.4172237394e-05 0.0000000000e+00 7.3831991362e+02 6.4122339862e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 6.5936477161e+02
6.3895973687e-01 9.7619872954e-05 0.0000000000e+00 7.3832360519e+02 6.4483989631e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 6.8082382531e+02
6.3992629958e-01 1.1206362967e-04 0.0000000000e+00 7.3832729675e+02 6.4581682084e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 6.9261098486e+02
6.3557959256e-01 1.2750350753e-04 0.0000000000e+00 7.3831622206e+02 6.4142353644e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 7.0788297956e+02
6.1104040823e-01 1.4393950655e-04 0.0000000000e+00 7.3832729675e+02 6.1662523995e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 7.1945602847e+02
5.3410531163e-01 1.6137162672e-04 0.0000000000e+00 7.3832175941e+02 5.3889527369e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 7.2702557769e+02
3.5233476872e-01 1.7979986804e-04 0.0000000000e+00 7.3832360519e+02 3.5530581909e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 7.3074851862e+02
1.2102933651e-01 1.9922423052e-04 0.0000000000e+00 7.3832545097e+02 1.2174377636e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 7.2097510650e+02
8.8808853526e-02 2.1964471415e-04 0.0000000000e+00 1.1284146646e+02 8.9204777391e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 3.2024306011e+01
9.7293984777e-02 2.4106131893e-04 0.0000000000e+00 5.3773370890e+01 9.7788766708e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.5705753305e+01
1.0840722953e-01 2.6347404486e-04 0.0000000000e+00 3.6045903016e+01 1.0904982782e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.2048337607e+01
1.2167337176e-01 2.8688289195e-04 0.0000000000e+00 2.7737464460e+01 1.2251819164e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0736909975e+01
1.3725478719e-01 3.1128786018e-04 0.0000000000e+00 2.2990309561e+01 1.3837230498e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0314226051e+01
1.5548882046e-01 3.3668894958e-04 0.0000000000e+00 1.9969976824e+01 1.5697288135e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0096423855e+01
1.7676428804e-01 3.6308616012e-04 0.0000000000e+00 1.7924634812e+01 1.7874001870e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 9.9801396312e+00
2.0176238792e-01 3.9047949182e-04 0.0000000000e+00 1.6466474775e+01 2.0440295618e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 9.9469155673e+00
2.3265064174e-01 4.1886894466e-04 0.0000000000e+00 1.5358234500e+01 2.3624146723e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 9.9589131459e+00
2.6882021474e-01 4.4825451867e-04 0.0000000000e+00 1.4570871773e+01 2.7370305529e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0015209476e+01
3.1028715835e-01 4.7863621382e-04 0.0000000000e+00 1.4006632283e+01 3.1688705591e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0107498543e+01
3.5937074012e-01 5.1001403013e-04 0.0000000000e+00 1.3599536560e+01 3.6832590697e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0234857454e+01
4.1795912642e-01 5.4238796759e-04 0.0000000000e+00 1.3318559613e+01 4.3018277946e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0406515118e+01
4.8203527271e-01 5.7575802620e-04 0.0000000000e+00 1.3137009716e+01 4.9840118304e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 1.2566370614e+02 1.0585555906e+01
